@relation cscsp

@attribute close numeric
@attribute hour numeric
@attribute consecutivedowns {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute pricebolls50 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute williamsr50 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute psar {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute mfi16 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute stochasticdrsi20_5_5 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute williamsr10 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute rsi5 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute aroonoscillator50 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute atr20 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute cci10 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute volumebolls50 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute ultimateoscillator4_10_25 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute stochasticd14_3_3 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute macd12_26_9 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute class {Buy,No}

@data
265.09, 23.0, BUCKET4, BUCKET3, BUCKET2, BUCKET8, BUCKET3, BUCKET6, BUCKET2, BUCKET4, BUCKET5, BUCKET6, BUCKET4, BUCKET8, BUCKET4, BUCKET2, BUCKET4, No
265.13, 23.0, BUCKET3, BUCKET3, BUCKET2, BUCKET8, BUCKET4, BUCKET7, BUCKET1, BUCKET4, BUCKET5, BUCKET6, BUCKET3, BUCKET5, BUCKET3, BUCKET2, BUCKET4, No
265.51, 23.0, BUCKET2, BUCKET3, BUCKET2, BUCKET8, BUCKET4, BUCKET7, BUCKET2, BUCKET4, BUCKET5, BUCKET6, BUCKET3, BUCKET9, BUCKET3, BUCKET2, BUCKET4, No
266.23, 23.0, BUCKET1, BUCKET4, BUCKET3, BUCKET8, BUCKET4, BUCKET7, BUCKET4, BUCKET5, BUCKET5, BUCKET6, BUCKET4, BUCKET9, BUCKET2, BUCKET2, BUCKET4, No
265.15, 22.0, BUCKET2, BUCKET2, BUCKET1, BUCKET8, BUCKET3, BUCKET5, BUCKET1, BUCKET3, BUCKET5, BUCKET6, BUCKET0, BUCKET9, BUCKET2, BUCKET2, BUCKET4, No
266.41, 22.0, BUCKET1, BUCKET4, BUCKET2, BUCKET6, BUCKET3, BUCKET7, BUCKET2, BUCKET4, BUCKET5, BUCKET6, BUCKET6, BUCKET10, BUCKET3, BUCKET2, BUCKET4, No
266.22, 22.0, BUCKET3, BUCKET3, BUCKET1, BUCKET8, BUCKET2, BUCKET7, BUCKET1, BUCKET4, BUCKET5, BUCKET6, BUCKET5, BUCKET9, BUCKET3, BUCKET2, BUCKET4, No
266.76, 22.0, BUCKET2, BUCKET4, BUCKET3, BUCKET6, BUCKET2, BUCKET8, BUCKET3, BUCKET5, BUCKET6, BUCKET6, BUCKET7, BUCKET6, BUCKET3, BUCKET2, BUCKET4, No
267.11, 21.0, BUCKET1, BUCKET5, BUCKET3, BUCKET7, BUCKET2, BUCKET8, BUCKET4, BUCKET6, BUCKET6, BUCKET6, BUCKET6, BUCKET7, BUCKET4, BUCKET2, BUCKET4, No
266.32, 21.0, BUCKET4, BUCKET3, BUCKET2, BUCKET8, BUCKET1, BUCKET6, BUCKET2, BUCKET3, BUCKET6, BUCKET6, BUCKET4, BUCKET7, BUCKET3, BUCKET2, BUCKET4, No
266.83, 21.0, BUCKET3, BUCKET4, BUCKET3, BUCKET7, BUCKET1, BUCKET8, BUCKET3, BUCKET4, BUCKET6, BUCKET6, BUCKET7, BUCKET4, BUCKET3, BUCKET2, BUCKET4, No
266.86, 21.0, BUCKET2, BUCKET4, BUCKET3, BUCKET8, BUCKET1, BUCKET8, BUCKET3, BUCKET4, BUCKET6, BUCKET6, BUCKET5, BUCKET7, BUCKET4, BUCKET2, BUCKET4, No
266.9, 20.0, BUCKET1, BUCKET4, BUCKET3, BUCKET7, BUCKET1, BUCKET7, BUCKET2, BUCKET4, BUCKET9, BUCKET6, BUCKET5, BUCKET6, BUCKET3, BUCKET2, BUCKET4, No
266.73, 20.0, BUCKET1, BUCKET4, BUCKET3, BUCKET8, BUCKET1, BUCKET5, BUCKET2, BUCKET3, BUCKET9, BUCKET6, BUCKET6, BUCKET9, BUCKET2, BUCKET2, BUCKET4, No
